req_id,picture_id,item_code,module_id,module,layer_id,position,item_width,facing,item_type,vert_facing,module_width
20347,20347_23,100020980,2,B,5,379,96,1,item,1,1000
20347,20347_23,100020981,2,B,5,489,96,1,item,1,1000
20347,20347_23,100010078,5,E,3,693,92,1,item,1,1000
20347,20347_23,100020156,5,E,3,593,92,1,item,1,1000
20347,20347_23,100020159,5,E,3,493,92,1,item,1,1000
20347,20347_23,100178701,5,E,3,793,92,1,item,1,1000
20347,20347_23,101148119,5,E,1,504,62,1,item,1,1000
20347,20347_23,101367839,5,E,1,674,90,1,item,1,1000
20347,20347_23,101367840,5,E,1,773,76,1,item,1,1000
20347,20347_23,101368026,5,E,1,575,90,1,item,1,1000
20347,20347_23,101368027,5,E,1,858,76,1,item,1,1000
20347,20347_23,101432325,5,E,2,667,76,1,item,1,1000
20347,20347_23,101432328,5,E,2,571,90,1,item,1,1000
20347,20347_23,101459428,5,E,2,495,70,1,item,1,1000
20347,20347_23,101472679,5,E,2,749,161,1,item,1,1000
20347,20347_23,100018642,5,E,2,297,93,1,item,1,1000
20347,20347_23,100018653,5,E,3,237,93,1,item,1,1000
20347,20347_23,100020872,5,E,3,338,93,1,item,1,1000
20347,20347_23,100051365,5,E,2,396,93,1,item,1,1000
20347,20347_23,100051381,5,E,5,274,93,1,item,1,1000
20347,20347_23,100051382,5,E,5,0,93,1,item,1,1000
20347,20347_23,100236304,5,E,5,378,99,1,item,1,1000
20347,20347_23,100327014,5,E,4,0,99,1,item,1,1000
20347,20347_23,100609913,5,E,4,272,77,1,item,1,1000
20347,20347_23,100609915,5,E,3,0,77,1,item,1,1000
20347,20347_23,101024811,5,E,3,160,69,1,item,1,1000
20347,20347_23,101024812,5,E,2,73,69,1,item,1,1000
20347,20347_23,101045226,5,E,3,85,67,1,item,1,1000
20347,20347_23,101377243,5,E,4,192,67,1,item,1,1000
20347,20347_23,101398646,5,E,5,185,78,1,item,1,1000
20347,20347_23,101412641,5,E,2,221,70,1,item,1,1000
20347,20347_23,101412643,5,E,2,148,67,1,item,1,1000
